Date,Close,High,Low,Open,Volume,MA_7,MA_30
2025-10-27,1.1631693840026855,1.164958119392395,1.1618720293045044,1.1631693840026855,0,,
2025-10-28,1.165175199508667,1.1668611764907837,1.1627906560897827,1.165175199508667,0,,
2025-10-29,1.1657865047454834,1.1665889024734497,1.1619800329208374,1.1657865047454834,0,,
2025-10-30,1.1603351831436157,1.1634671688079834,1.1547610759735107,1.1603351831436157,0,,
2025-10-31,1.157246708869934,1.1577826738357544,1.152379035949707,1.157246708869934,0,,
2025-11-03,1.1528042554855347,1.1542012691497803,1.1506155729293823,1.1528042554855347,0,,
2025-11-04,1.1519144773483276,1.1532961130142212,1.1473548412322998,1.1519144773483276,0,1.1594902447291784,
2025-11-05,1.1485539674758911,1.149795413017273,1.1470125913619995,1.1485539674758911,0,1.1574023280824934,
2025-11-06,1.1496764421463013,1.154294490814209,1.149385690689087,1.1496764421463013,0,1.1551882198878698,
2025-11-07,1.1549211740493774,1.1589902639389038,1.153043508529663,1.1549211740493774,0,1.153636029788426,
2025-11-10,1.1543878316879272,1.1582250595092773,1.1543744802474976,1.1554548740386963,0,1.152786408151899,
2025-11-11,1.1557220220565796,1.1606314182281494,1.1548144817352295,1.1557353734970093,0,1.1525685957499914,
2025-11-12,1.1587486267089844,1.1597968339920044,1.1563233137130737,1.1588828563690186,0,1.1534177916390556,
2025-11-13,1.159218668937683,1.1649309396743774,1.1579837799072266,1.159245491027832,0,1.154461247580392,
2025-11-14,1.1631964445114136,1.1653653383255005,1.1608065366744995,1.1630746126174927,0,1.156553030014038,
2025-11-17,1.1615345478057861,1.1617100238800049,1.1583056449890137,1.16146719455719,0,1.1582470451082503,
2025-11-18,1.159057378768921,1.1606987714767456,1.1573805809020996,1.159003734588623,0,1.1588379314967565,
2025-11-19,1.1581177711486816,1.1597565412521362,1.1535356044769287,1.158104419708252,0,1.15937077999115,
2025-11-20,1.154068112373352,1.1551345586776733,1.1507744789123535,1.154068112373352,0,1.1591345071792603,
2025-11-21,1.1534557342529297,1.1552013158798218,1.1492139101028442,1.1535356044769287,0,1.1583783796855383,
2025-11-24,1.1507612466812134,1.1551345586776733,1.1502846479415894,1.1507877111434937,0,1.1571701765060425,
2025-11-25,1.155001163482666,1.156336784362793,1.151543140411377,1.1528706550598145,0,1.1559994220733643,
